symbol,direction,confidence,raw_confidence,entry_date,entry_price,exit_date,exit_price,stop_loss,target,pnl_pct,exit_reason
RELIANCE,BUY,0.6107,0.8271,2026-01-28 00:00:00+05:30,1390.27,2026-02-02 00:00:00+05:30,1367.24,1367.24,1447.86,-1.657,stop_loss
RELIANCE,BUY,0.8152,0.9748,2026-02-03 00:00:00+05:30,1430.49,2026-02-10 00:00:00+05:30,1451.79,1407.45,1488.08,1.489,max_hold
RELIANCE,BUY,0.7588,0.9419,2026-02-11 00:00:00+05:30,1461.94,2026-02-12 00:00:00+05:30,1438.9,1438.9,1519.53,-1.576,stop_loss
RELIANCE,BUY,0.6974,0.8934,2026-02-13 00:00:00+05:30,1413.07,2026-02-20 00:00:00+05:30,1412.87,1390.03,1470.66,-0.014,max_hold
RELIANCE,BUY,0.5665,0.7543,2026-02-23 00:00:00+05:30,1421.43,2026-02-25 00:00:00+05:30,1398.39,1398.39,1479.02,-1.621,stop_loss
RELIANCE,SELL,0.5443,0.7303,2026-02-26 00:00:00+05:30,1400.33,2026-03-02 00:00:00+05:30,1342.73,1423.36,1342.73,4.113,target
RELIANCE,BUY,0.8237,0.9774,2026-03-04 00:00:00+05:30,1338.81,2026-03-06 00:00:00+05:30,1396.4,1315.77,1396.4,4.302,target
RELIANCE,BUY,0.8585,0.9848,2026-03-09 00:00:00+05:30,1417.45,2026-03-10 00:00:00+05:30,1394.41,1394.41,1475.04,-1.625,stop_loss
RELIANCE,BUY,0.6624,0.8503,2026-03-11 00:00:00+05:30,1383.8,2026-03-12 00:00:00+05:30,1385.79,1360.77,1441.39,0.144,end_of_period
TCS,SELL,0.5348,0.6989,2025-07-22 00:00:00+05:30,3050.3,2025-07-29 00:00:00+05:30,2950.28,3098.46,2929.89,3.279,max_hold
TCS,BUY,0.5541,0.753,2025-07-31 00:00:00+05:30,2931.75,2025-08-07 00:00:00+05:30,2941.59,2883.58,3052.15,0.336,max_hold
TCS,BUY,0.6301,0.8156,2025-08-08 00:00:00+05:30,2931.36,2025-08-18 00:00:00+05:30,2907.03,2883.2,3051.76,-0.83,max_hold
TCS,SELL,0.6893,0.8978,2025-08-19 00:00:00+05:30,2911.86,2025-08-20 00:00:00+05:30,2960.02,2960.02,2791.45,-1.654,stop_loss
TCS,SELL,0.7466,0.9369,2025-08-22 00:00:00+05:30,2948.35,2025-08-25 00:00:00+05:30,2996.51,2996.51,2827.95,-1.634,stop_loss
TCS,SELL,0.7852,0.9637,2025-08-26 00:00:00+05:30,3047.98,2025-09-02 00:00:00+05:30,3003.86,3096.14,2927.58,1.447,max_hold
TCS,SELL,0.6702,0.8598,2025-09-03 00:00:00+05:30,2990.35,2025-09-09 00:00:00+05:30,2943.91,3038.51,2869.94,1.553,end_of_period
TCS,SELL,0.7224,0.9263,2025-10-24 00:00:00+05:30,2968.26,2025-10-31 00:00:00+05:30,2963.22,3022.37,2833.0,0.17,max_hold
TCS,SELL,0.7581,0.9516,2025-11-03 00:00:00+05:30,2923.3,2025-11-10 00:00:00+05:30,2931.44,2977.4,2788.04,-0.278,max_hold
TCS,SELL,0.7558,0.9446,2025-11-12 00:00:00+05:30,3034.74,2025-11-19 00:00:00+05:30,3050.14,3088.84,2899.48,-0.508,max_hold
TCS,SELL,0.7516,0.9467,2025-11-20 00:00:00+05:30,3047.33,2025-11-27 00:00:00+05:30,3039.39,3101.44,2912.07,0.261,max_hold
